City,Year,Month,ARI_Type,Temperature_C,Humidity_%,Rainfall_mm,Cases
Cavinti,2015,1,Bronchitis,26.7,84,33,83
Cavinti,2015,1,Asthma,26.7,84,33,247
Cavinti,2015,1,Common Cold,26.7,84,33,487
Biñan,2015,2,Influenza,26.6,85,39,250
Biñan,2015,2,Pneumonia,26.6,85,39,153
Biñan,2015,2,Bronchitis,26.6,85,39,90
Biñan,2015,2,Asthma,26.6,85,39,181
Biñan,2015,2,Common Cold,26.6,85,39,193
Cabuyao,2015,2,Influenza,26.5,85,51,283
Cabuyao,2015,2,Pneumonia,26.5,85,51,41
Cabuyao,2015,2,Bronchitis,26.5,85,51,70
Cabuyao,2015,2,Asthma,26.5,85,51,205
Cabuyao,2015,2,Common Cold,26.5,85,51,273
Calamba,2015,2,Influenza,26.8,86,12,121
Calamba,2015,2,Pneumonia,26.8,86,12,147
Calamba,2015,2,Bronchitis,26.8,86,12,91
Calamba,2015,2,Asthma,26.8,86,12,46
Calamba,2015,2,Common Cold,26.8,86,12,438
San Pedro,2015,2,Influenza,27.0,82,32,121
San Pedro,2015,2,Pneumonia,27.0,82,32,120
San Pedro,2015,2,Bronchitis,27.0,82,32,56
San Pedro,2015,2,Asthma,27.0,82,32,97
San Pedro,2015,2,Common Cold,27.0,82,32,336
Sta. Rosa,2015,2,Influenza,27.0,87,23,180
Sta. Rosa,2015,2,Pneumonia,27.0,87,23,41
Sta. Rosa,2015,2,Bronchitis,27.0,87,23,44
Sta. Rosa,2015,2,Asthma,27.0,87,23,157
Sta. Rosa,2015,2,Common Cold,27.0,87,23,238
San Pablo,2015,2,Influenza,26.7,87,43,193
San Pablo,2015,2,Pneumonia,26.7,87,43,130
San Pablo,2015,2,Bronchitis,26.7,87,43,31
San Pablo,2015,2,Asthma,26.7,87,43,186
San Pablo,2015,2,Common Cold,26.7,87,43,352
Santa Cruz,2015,2,Influenza,26.6,83,53,198
Santa Cruz,2015,2,Pneumonia,26.6,83,53,146
Santa Cruz,2015,2,Bronchitis,26.6,83,53,45
Santa Cruz,2015,2,Asthma,26.6,83,53,168
Santa Cruz,2015,2,Common Cold,26.6,83,53,308
Bay,2015,2,Influenza,26.0,86,39,118
Bay,2015,2,Pneumonia,26.0,86,39,70
Bay,2015,2,Bronchitis,26.0,86,39,67
Bay,2015,2,Asthma,26.0,86,39,170
Bay,2015,2,Common Cold,26.0,86,39,481
Los Baños,2015,2,Influenza,25.4,85,42,327
Los Baños,2015,2,Pneumonia,25.4,85,42,157
Los Baños,2015,2,Bronchitis,25.4,85,42,33
Los Baños,2015,2,Asthma,25.4,85,42,101
Los Baños,2015,2,Common Cold,25.4,85,42,142
Victoria,2015,2,Influenza,27.4,89,28,74
Victoria,2015,2,Pneumonia,27.4,89,28,148
Victoria,2015,2,Bronchitis,27.4,89,28,29
Victoria,2015,2,Asthma,27.4,89,28,183
Victoria,2015,2,Common Cold,27.4,89,28,330
Pagsanjan,2015,2,Influenza,25.9,87,56,60
Pagsanjan,2015,2,Pneumonia,25.9,87,56,112
Pagsanjan,2015,2,Bronchitis,25.9,87,56,53
Pagsanjan,2015,2,Asthma,25.9,87,56,191
Pagsanjan,2015,2,Common Cold,25.9,87,56,437
Pakil,2015,2,Influenza,27.4,86,12,100
Pakil,2015,2,Pneumonia,27.4,86,12,178
Pakil,2015,2,Bronchitis,27.4,86,12,98
Pakil,2015,2,Asthma,27.4,86,12,93
Pakil,2015,2,Common Cold,27.4,86,12,191
Paete,2015,2,Influenza,27.0,84,25,129
Paete,2015,2,Pneumonia,27.0,84,25,53
Paete,2015,2,Bronchitis,27.0,84,25,47
Paete,2015,2,Asthma,27.0,84,25,160
Paete,2015,2,Common Cold,27.0,84,25,192
Pila,2015,2,Influenza,26.0,81,54,99
Pila,2015,2,Pneumonia,26.0,81,54,153
Pila,2015,2,Bronchitis,26.0,81,54,32
Pila,2015,2,Asthma,26.0,81,54,71
Pila,2015,2,Common Cold,26.0,81,54,294
Liliw,2015,2,Influenza,26.0,88,51,117
Liliw,2015,2,Pneumonia,26.0,88,51,172
Liliw,2015,2,Bronchitis,26.0,88,51,47
Liliw,2015,2,Asthma,26.0,88,51,241
Liliw,2015,2,Common Cold,26.0,88,51,373
Nagcarlan,2015,2,Influenza,26.1,82,62,295
Nagcarlan,2015,2,Pneumonia,26.1,82,62,80
Nagcarlan,2015,2,Bronchitis,26.1,82,62,31
Nagcarlan,2015,2,Asthma,26.1,82,62,214
Nagcarlan,2015,2,Common Cold,26.1,82,62,225
Majayjay,2015,2,Influenza,26.4,83,23,277
Majayjay,2015,2,Pneumonia,26.4,83,23,175
Majayjay,2015,2,Bronchitis,26.4,83,23,77
Majayjay,2015,2,Asthma,26.4,83,23,79
Majayjay,2015,2,Common Cold,26.4,83,23,340
Siniloan,2015,2,Influenza,27.0,88,60,172
Siniloan,2015,2,Pneumonia,27.0,88,60,71
Siniloan,2015,2,Bronchitis,27.0,88,60,84
Siniloan,2015,2,Asthma,27.0,88,60,87
Siniloan,2015,2,Common Cold,27.0,88,60,134
Famy,2015,2,Influenza,27.2,84,27,254
Famy,2015,2,Pneumonia,27.2,84,27,138
Famy,2015,2,Bronchitis,27.2,84,27,85
Famy,2015,2,Asthma,27.2,84,27,69
Famy,2015,2,Common Cold,27.2,84,27,365
Mabitac,2015,2,Influenza,26.5,83,10,71
Mabitac,2015,2,Pneumonia,26.5,83,10,34
Mabitac,2015,2,Bronchitis,26.5,83,10,102
Mabitac,2015,2,Asthma,26.5,83,10,194
Mabitac,2015,2,Common Cold,26.5,83,10,387
Rizal,2015,2,Influenza,26.3,86,26,88
Rizal,2015,2,Pneumonia,26.3,86,26,31
Rizal,2015,2,Bronchitis,26.3,86,26,105
Rizal,2015,2,Asthma,26.3,86,26,42
Rizal,2015,2,Common Cold,26.3,86,26,208
Alaminos,2015,2,Influenza,26.1,86,37,265
Alaminos,2015,2,Pneumonia,26.1,86,37,45
Alaminos,2015,2,Bronchitis,26.1,86,37,76
Alaminos,2015,2,Asthma,26.1,86,37,189
Alaminos,2015,2,Common Cold,26.1,86,37,479
Pangil,2015,2,Influenza,26.7,82,25,161
Pangil,2015,2,Pneumonia,26.7,82,25,135
Pangil,2015,2,Bronchitis,26.7,82,25,110
Pangil,2015,2,Asthma,26.7,82,25,137
Pangil,2015,2,Common Cold,26.7,82,25,400
Kalayaan,2015,2,Influenza,26.5,87,24,139
Kalayaan,2015,2,Pneumonia,26.5,87,24,85
Kalayaan,2015,2,Bronchitis,26.5,87,24,40
Kalayaan,2015,2,Asthma,26.5,87,24,121
Kalayaan,2015,2,Common Cold,26.5,87,24,319
Cavinti,2015,2,Influenza,27.3,90,36,58
Cavinti,2015,2,Pneumonia,27.3,90,36,72
Cavinti,2015,2,Bronchitis,27.3,90,36,24
Cavinti,2015,2,Asthma,27.3,90,36,219
Cavinti,2015,2,Common Cold,27.3,90,36,420
Biñan,2015,3,Influenza,28.8,79,55,93
Biñan,2015,3,Pneumonia,28.8,79,55,34
Biñan,2015,3,Bronchitis,28.8,79,55,48
Biñan,2015,3,Asthma,28.8,79,55,165
Biñan,2015,3,Common Cold,28.8,79,55,359
Cabuyao,2015,3,Influenza,28.4,80,49,198
Cabuyao,2015,3,Pneumonia,28.4,80,49,184
Cabuyao,2015,3,Bronchitis,28.4,80,49,104
Cabuyao,2015,3,Asthma,28.4,80,49,100
Cabuyao,2015,3,Common Cold,28.4,80,49,491
Calamba,2015,3,Influenza,27.3,77,66,95
Calamba,2015,3,Pneumonia,27.3,77,66,77
Calamba,2015,3,Bronchitis,27.3,77,66,139
Calamba,2015,3,Asthma,27.3,77,66,171
Calamba,2015,3,Common Cold,27.3,77,66,118
San Pedro,2015,3,Influenza,27.3,77,77,265
San Pedro,2015,3,Pneumonia,27.3,77,77,138
San Pedro,2015,3,Bronchitis,27.3,77,77,106
San Pedro,2015,3,Asthma,27.3,77,77,194
San Pedro,2015,3,Common Cold,27.3,77,77,428
Sta. Rosa,2015,3,Influenza,28.0,77,23,245
Sta. Rosa,2015,3,Pneumonia,28.0,77,23,115
Sta. Rosa,2015,3,Bronchitis,28.0,77,23,20
Sta. Rosa,2015,3,Asthma,28.0,77,23,217
Sta. Rosa,2015,3,Common Cold,28.0,77,23,308
San Pablo,2015,3,Influenza,28.7,82,24,76
San Pablo,2015,3,Pneumonia,28.7,82,24,175
San Pablo,2015,3,Bronchitis,28.7,82,24,37
San Pablo,2015,3,Asthma,28.7,82,24,157
San Pablo,2015,3,Common Cold,28.7,82,24,236
Santa Cruz,2015,3,Influenza,28.5,76,43,272
Santa Cruz,2015,3,Pneumonia,28.5,76,43,46
Santa Cruz,2015,3,Bronchitis,28.5,76,43,58
Santa Cruz,2015,3,Asthma,28.5,76,43,192
Santa Cruz,2015,3,Common Cold,28.5,76,43,269
Bay,2015,3,Influenza,28.8,75,48,151
Bay,2015,3,Pneumonia,28.8,75,48,116
Bay,2015,3,Bronchitis,28.8,75,48,142
Bay,2015,3,Asthma,28.8,75,48,239
Bay,2015,3,Common Cold,28.8,75,48,146
Los Baños,2015,3,Influenza,28.4,79,77,128
Los Baños,2015,3,Pneumonia,28.4,79,77,44
Los Baños,2015,3,Bronchitis,28.4,79,77,108
Los Baños,2015,3,Asthma,28.4,79,77,136
Los Baños,2015,3,Common Cold,28.4,79,77,497
Victoria,2015,3,Influenza,28.4,78,27,226
Victoria,2015,3,Pneumonia,28.4,78,27,32
Victoria,2015,3,Bronchitis,28.4,78,27,142
Victoria,2015,3,Asthma,28.4,78,27,94
Victoria,2015,3,Common Cold,28.4,78,27,210
Pagsanjan,2015,3,Influenza,29.1,82,51,56
Pagsanjan,2015,3,Pneumonia,29.1,82,51,121
Pagsanjan,2015,3,Bronchitis,29.1,82,51,124
Pagsanjan,2015,3,Asthma,29.1,82,51,217
Pagsanjan,2015,3,Common Cold,29.1,82,51,222
Pakil,2015,3,Influenza,27.2,78,53,228
Pakil,2015,3,Pneumonia,27.2,78,53,127
Pakil,2015,3,Bronchitis,27.2,78,53,62
Pakil,2015,3,Asthma,27.2,78,53,222
Pakil,2015,3,Common Cold,27.2,78,53,284
Paete,2015,3,Influenza,27.5,78,66,271
Paete,2015,3,Pneumonia,27.5,78,66,151
Paete,2015,3,Bronchitis,27.5,78,66,40
Paete,2015,3,Asthma,27.5,78,66,73
Paete,2015,3,Common Cold,27.5,78,66,460
Pila,2015,3,Influenza,28.1,80,62,286
Pila,2015,3,Pneumonia,28.1,80,62,62
Pila,2015,3,Bronchitis,28.1,80,62,68
Pila,2015,3,Asthma,28.1,80,62,235
Pila,2015,3,Common Cold,28.1,80,62,103
Liliw,2015,3,Influenza,28.1,81,77,219
Liliw,2015,3,Pneumonia,28.1,81,77,59
Liliw,2015,3,Bronchitis,28.1,81,77,93
Liliw,2015,3,Asthma,28.1,81,77,160
Liliw,2015,3,Common Cold,28.1,81,77,105
Nagcarlan,2015,3,Influenza,28.7,76,52,251
Nagcarlan,2015,3,Pneumonia,28.7,76,52,180
Nagcarlan,2015,3,Bronchitis,28.7,76,52,107
Nagcarlan,2015,3,Asthma,28.7,76,52,84
Nagcarlan,2015,3,Common Cold,28.7,76,52,365
Majayjay,2015,3,Influenza,26.8,81,58,192
Majayjay,2015,3,Pneumonia,26.8,81,58,144
Majayjay,2015,3,Bronchitis,26.8,81,58,100
Majayjay,2015,3,Asthma,26.8,81,58,59
Majayjay,2015,3,Common Cold,26.8,81,58,277
Siniloan,2015,3,Influenza,29.0,79,44,107
Siniloan,2015,3,Pneumonia,29.0,79,44,66
Siniloan,2015,3,Bronchitis,29.0,79,44,97
Siniloan,2015,3,Asthma,29.0,79,44,239
Siniloan,2015,3,Common Cold,29.0,79,44,323
Famy,2015,3,Influenza,27.5,79,62,244
Famy,2015,3,Pneumonia,27.5,79,62,198
Famy,2015,3,Bronchitis,27.5,79,62,106
Famy,2015,3,Asthma,27.5,79,62,126
Famy,2015,3,Common Cold,27.5,79,62,410
Mabitac,2015,3,Influenza,29.0,75,75,177
Mabitac,2015,3,Pneumonia,29.0,75,75,93
Mabitac,2015,3,Bronchitis,29.0,75,75,70
Mabitac,2015,3,Asthma,29.0,75,75,115
Mabitac,2015,3,Common Cold,29.0,75,75,121
Rizal,2015,3,Influenza,27.5,78,58,104
Rizal,2015,3,Pneumonia,27.5,78,58,189
Rizal,2015,3,Bronchitis,27.5,78,58,103
Rizal,2015,3,Asthma,27.5,78,58,67
Rizal,2015,3,Common Cold,27.5,78,58,479
Alaminos,2015,3,Influenza,27.1,82,62,108
Alaminos,2015,3,Pneumonia,27.1,82,62,181
Alaminos,2015,3,Bronchitis,27.1,82,62,47
Alaminos,2015,3,Asthma,27.1,82,62,101
Alaminos,2015,3,Common Cold,27.1,82,62,150
Pangil,2015,3,Influenza,28.6,82,43,280
Pangil,2015,3,Pneumonia,28.6,82,43,108
Pangil,2015,3,Bronchitis,28.6,82,43,22
Pangil,2015,3,Asthma,28.6,82,43,41
Pangil,2015,3,Common Cold,28.6,82,43,362
Kalayaan,2015,3,Influenza,27.9,77,43,54
Kalayaan,2015,3,Pneumonia,27.9,77,43,152
Kalayaan,2015,3,Bronchitis,27.9,77,43,90
Kalayaan,2015,3,Asthma,27.9,77,43,128
Kalayaan,2015,3,Common Cold,27.9,77,43,241
Cavinti,2015,3,Influenza,26.7,82,37,228
Cavinti,2015,3,Pneumonia,26.7,82,37,174
Cavinti,2015,3,Bronchitis,26.7,82,37,144
Cavinti,2015,3,Asthma,26.7,82,37,237
Cavinti,2015,3,Common Cold,26.7,82,37,440
Biñan,2015,4,Influenza,30.9,76,96,169
Biñan,2015,4,Pneumonia,30.9,76,96,194
Biñan,2015,4,Bronchitis,30.9,76,96,127
Biñan,2015,4,Asthma,30.9,76,96,166
Biñan,2015,4,Common Cold,30.9,76,96,315
Cabuyao,2015,4,Influenza,30.0,80,39,281
Cabuyao,2015,4,Pneumonia,30.0,80,39,48
Cabuyao,2015,4,Bronchitis,30.0,80,39,71
Cabuyao,2015,4,Asthma,30.0,80,39,157
Cabuyao,2015,4,Common Cold,30.0,80,39,373
Calamba,2015,4,Influenza,30.5,77,72,268
Calamba,2015,4,Pneumonia,30.5,77,72,58
Calamba,2015,4,Bronchitis,30.5,77,72,66
Calamba,2015,4,Asthma,30.5,77,72,179
Calamba,2015,4,Common Cold,30.5,77,72,157
San Pedro,2015,4,Influenza,29.7,80,76,216
San Pedro,2015,4,Pneumonia,29.7,80,76,180
San Pedro,2015,4,Bronchitis,29.7,80,76,30
San Pedro,2015,4,Asthma,29.7,80,76,134
San Pedro,2015,4,Common Cold,29.7,80,76,171
Sta. Rosa,2015,4,Influenza,29.7,81,64,257
Sta. Rosa,2015,4,Pneumonia,29.7,81,64,182
Sta. Rosa,2015,4,Bronchitis,29.7,81,64,96
Sta. Rosa,2015,4,Asthma,29.7,81,64,132
Sta. Rosa,2015,4,Common Cold,29.7,81,64,318
San Pablo,2015,4,Influenza,29.7,74,41,135
San Pablo,2015,4,Pneumonia,29.7,74,41,139
San Pablo,2015,4,Bronchitis,29.7,74,41,60
San Pablo,2015,4,Asthma,29.7,74,41,217
San Pablo,2015,4,Common Cold,29.7,74,41,143
Santa Cruz,2015,4,Influenza,30.3,77,38,180
Santa Cruz,2015,4,Pneumonia,30.3,77,38,36
Santa Cruz,2015,4,Bronchitis,30.3,77,38,101
Santa Cruz,2015,4,Asthma,30.3,77,38,55
Santa Cruz,2015,4,Common Cold,30.3,77,38,148
Bay,2015,4,Influenza,29.9,73,62,78
Bay,2015,4,Pneumonia,29.9,73,62,104
Bay,2015,4,Bronchitis,29.9,73,62,89
Bay,2015,4,Asthma,29.9,73,62,122
Bay,2015,4,Common Cold,29.9,73,62,456
Los Baños,2015,4,Influenza,29.5,74,44,255
Los Baños,2015,4,Pneumonia,29.5,74,44,187
Los Baños,2015,4,Bronchitis,29.5,74,44,141
Los Baños,2015,4,Asthma,29.5,74,44,87
Los Baños,2015,4,Common Cold,29.5,74,44,284
Victoria,2015,4,Influenza,28.9,76,68,215
Victoria,2015,4,Pneumonia,28.9,76,68,148
Victoria,2015,4,Bronchitis,28.9,76,68,30
Victoria,2015,4,Asthma,28.9,76,68,87
Victoria,2015,4,Common Cold,28.9,76,68,347
Pagsanjan,2015,4,Influenza,29.3,75,67,58
Pagsanjan,2015,4,Pneumonia,29.3,75,67,69
Pagsanjan,2015,4,Bronchitis,29.3,75,67,26
Pagsanjan,2015,4,Asthma,29.3,75,67,197
Pagsanjan,2015,4,Common Cold,29.3,75,67,217
Pakil,2015,4,Influenza,30.1,80,79,214
Pakil,2015,4,Pneumonia,30.1,80,79,153
Pakil,2015,4,Bronchitis,30.1,80,79,45
Pakil,2015,4,Asthma,30.1,80,79,167
Pakil,2015,4,Common Cold,30.1,80,79,473
Paete,2015,4,Influenza,30.4,77,71,254
Paete,2015,4,Pneumonia,30.4,77,71,135
Paete,2015,4,Bronchitis,30.4,77,71,136
Paete,2015,4,Asthma,30.4,77,71,97
Paete,2015,4,Common Cold,30.4,77,71,369
Pila,2015,4,Influenza,30.6,77,76,288
Pila,2015,4,Pneumonia,30.6,77,76,67
Pila,2015,4,Bronchitis,30.6,77,76,124
Pila,2015,4,Asthma,30.6,77,76,118
Pila,2015,4,Common Cold,30.6,77,76,444
Liliw,2015,4,Influenza,30.1,81,58,241
Liliw,2015,4,Pneumonia,30.1,81,58,90
Liliw,2015,4,Bronchitis,30.1,81,58,51
Liliw,2015,4,Asthma,30.1,81,58,179
Liliw,2015,4,Common Cold,30.1,81,58,450
Nagcarlan,2015,4,Influenza,30.2,79,68,280
Nagcarlan,2015,4,Pneumonia,30.2,79,68,32
Nagcarlan,2015,4,Bronchitis,30.2,79,68,123
Nagcarlan,2015,4,Asthma,30.2,79,68,72
Nagcarlan,2015,4,Common Cold,30.2,79,68,343
Majayjay,2015,4,Influenza,30.0,80,86,296
Majayjay,2015,4,Pneumonia,30.0,80,86,147
Majayjay,2015,4,Bronchitis,30.0,80,86,50
Majayjay,2015,4,Asthma,30.0,80,86,248
Majayjay,2015,4,Common Cold,30.0,80,86,248
Siniloan,2015,4,Influenza,29.7,78,82,140
Siniloan,2015,4,Pneumonia,29.7,78,82,113
Siniloan,2015,4,Bronchitis,29.7,78,82,130
Siniloan,2015,4,Asthma,29.7,78,82,101
Siniloan,2015,4,Common Cold,29.7,78,82,376
Famy,2015,4,Influenza,29.9,79,88,293
Famy,2015,4,Pneumonia,29.9,79,88,196
Famy,2015,4,Bronchitis,29.9,79,88,98
Famy,2015,4,Asthma,29.9,79,88,62
Famy,2015,4,Common Cold,29.9,79,88,460
Mabitac,2015,4,Influenza,29.5,79,89,205
Mabitac,2015,4,Pneumonia,29.5,79,89,108
Mabitac,2015,4,Bronchitis,29.5,79,89,38
Mabitac,2015,4,Asthma,29.5,79,89,108
Mabitac,2015,4,Common Cold,29.5,79,89,231
Rizal,2015,4,Influenza,30.1,77,77,165
Rizal,2015,4,Pneumonia,30.1,77,77,194
Rizal,2015,4,Bronchitis,30.1,77,77,88
Rizal,2015,4,Asthma,30.1,77,77,187
Rizal,2015,4,Common Cold,30.1,77,77,317
Alaminos,2015,4,Influenza,31.0,75,55,107
Alaminos,2015,4,Pneumonia,31.0,75,55,162
Alaminos,2015,4,Bronchitis,31.0,75,55,51
Alaminos,2015,4,Asthma,31.0,75,55,160
Alaminos,2015,4,Common Cold,31.0,75,55,314
Pangil,2015,4,Influenza,30.7,75,69,290
Pangil,2015,4,Pneumonia,30.7,75,69,41
Pangil,2015,4,Bronchitis,30.7,75,69,72
Pangil,2015,4,Asthma,30.7,75,69,94
Pangil,2015,4,Common Cold,30.7,75,69,408
Kalayaan,2015,4,Influenza,30.6,76,90,52
Kalayaan,2015,4,Pneumonia,30.6,76,90,145
Kalayaan,2015,4,Bronchitis,30.6,76,90,77
Kalayaan,2015,4,Asthma,30.6,76,90,101
Kalayaan,2015,4,Common Cold,30.6,76,90,245
Cavinti,2015,4,Influenza,29.6,80,70,144
Cavinti,2015,4,Pneumonia,29.6,80,70,158
Cavinti,2015,4,Bronchitis,29.6,80,70,82
Cavinti,2015,4,Asthma,29.6,80,70,234
Cavinti,2015,4,Common Cold,29.6,80,70,119
Biñan,2015,5,Influenza,31.5,79,93,164
Biñan,2015,5,Pneumonia,31.5,79,93,196
Biñan,2015,5,Bronchitis,31.5,79,93,144
Biñan,2015,5,Asthma,31.5,79,93,45
Biñan,2015,5,Common Cold,31.5,79,93,478
Cabuyao,2015,5,Influenza,31.3,81,112,60
Cabuyao,2015,5,Pneumonia,31.3,81,112,139
Cabuyao,2015,5,Bronchitis,31.3,81,112,35
Cabuyao,2015,5,Asthma,31.3,81,112,72
Cabuyao,2015,5,Common Cold,31.3,81,112,332
Calamba,2015,5,Influenza,31.5,77,100,162
Calamba,2015,5,Pneumonia,31.5,77,100,89
Calamba,2015,5,Bronchitis,31.5,77,100,134
Calamba,2015,5,Asthma,31.5,77,100,148
Calamba,2015,5,Common Cold,31.5,77,100,274
San Pedro,2015,5,Influenza,30.7,73,91,170
San Pedro,2015,5,Pneumonia,30.7,73,91,33
San Pedro,2015,5,Bronchitis,30.7,73,91,45
